First name,Last name,Preferred title,Overview,Position,Department,Individual
Kevin,Conway,Associate Professor,"The central goal of the TAMU Systematic Ichthyology Laboratory is to document the taxonomic, anatomical, ontogenetic, and genetic diversity of teleost fishes. Teleost fishes are without-a-doubt the most successful group of fishes (and probably vertebrates) on the planet currently and have colonized almost all available aquatic habitats (and even some terrestrial habitats). The morphological diversity of teleosts is unparalleled by any other group of vertebrates, ranging in size from tiny 7mm long minnows to 10meter long oar fish, and in shape from ribbon-like eels to globe-like pufferfishes.  We investigate this diversity not only to further our understanding of vertebrate anatomy in general but also to discover novel characters to advance our understanding of the phylogenetic relationships of select groups of teleost fishes. Our investigations frequently lead to the discovery of previously unrecognized taxonomic diversity and one of the broader aims of the TAMU Systematic Ichthyology Laboratory is to document this diversity through the description of new species.",Associate Professor,Ecology and Conservation Biology,https://scholars.library.tamu.edu/vivo/display/nfaafc469
Thomas,Crump,Adjunct Associate Professor,,Adjunct Associate Professor,Periodontics,https://scholars.library.tamu.edu/vivo/display/nfbaa3ca0
Dae Seok,,Associate Professor,"My research agenda includes three interrelated strands: (a) expatriation effectiveness, (b) leadership in diverse cultural contexts, and (c) workforce development (Training, Organization Change) in an international context. <br /><br />My first research strand focuses on cultural adjustment and developmental needs of populations on the cultural border who have been doubly marginalized by culture, ethnicity, gender, social status, or a combination of these factors. For example, international students are consistently underrepresented and report great difficulty integrating both academically and socially. To help these doubly marginalized population, I have examined relationships among their cultural adjustment, engagement, antecedents, and outcomes in U.S. and Japanese universities. The findings guide administrators to make informed decisions and policies and strategically allocate resources and help faculty and staff better understand the unique challenges facing international students to directly advise and help them. <br /><br />My second research strand focuses on leadership in diverse cultural contexts. Despite the significance of culturally embedded leadership practices, most research has implemented extant leadership theories based on western cultural contexts without critically discussing implications for the local culture. I led a collaborative research team to conduct research on leadership effectiveness in Korea. Building on these findings, I also conducted a cross-cultural study (the U.K. and Korea) and a cross-sectional comparative study (public and private sector). <br /><br />My third research strand is workforce development in an international context.  I collaboratively developed an interdisciplinary team with faculty members in STEM fields. Although research has documented the need for cultural competence, it has not been a strong focus in undergraduate STEM education. To address these needs, we developed and submitted an NSF proposal to design a global exposure undergraduate course implementing innovative learning activities and assignments.  Through this course, STEM students will learn how other countries come up with innovative engineering solutions and how cultural characteristics play critical roles in understanding and solving engineering problems. This experience will also benefit students, faculty, employers, and industry partners by engaging key stakeholders in dialogue and training around skills for a global workforce. <br /><br />These collaborations have led to multiple refereed articles, book chapters, and conference proceedings. These works also led to invitations to share the findings and implications at institutions in the U.S., Korea, and Japan. My scholarship has also been recognized internationally with awards, the Outstanding Assistant Professor Award from the University Council of Workforce Human Resource Education, the Academy of Human Resource Development (AHRD) through its Early Career Scholar Award and Cutting Edge Awards.",Associate Professor,Educational Administration and Human Resource Development,https://scholars.library.tamu.edu/vivo/display/nfbbb62f9
Lei-Shih,Chen,Associate Professor,,Associate Professor,Kinesiology and Sport Management,https://scholars.library.tamu.edu/vivo/display/nfbd7579b
Murray,Cote,Associate Professor,"My research interests focus on the management of healthcare operations, including patient flow, capacity planning and management, demand forecasting, nurse staffing and scheduling.",Associate Professor,Health Policy and Management,https://scholars.library.tamu.edu/vivo/display/nfbfd1b5e
Stacy,Cole,Lecturer - Term Appoint,,Lecturer - Term Appoint,Public Service and Administration,https://scholars.library.tamu.edu/vivo/display/nfc0874d8
Andrew,Comech,Associate Professor,,Associate Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/nfc2b553e
Genny,Carrillo,Associate Professor,"My research interests include exposure assessment and health outcomes, asthma in children, pediatric diabetes, children's environmental health, and public health disparities. My research is on the Texas-Mexico border.",Associate Professor,Environmental and Occupational Health,https://scholars.library.tamu.edu/vivo/display/nfcdce654
Heather,Clark,Research Assistant Professor,"Dr. Heather Clark served as led the evaluation of the Center for Community Health Development while it was a Centers for Disease Control and Prevention funded Prevention Research Center, and spent a decade evaluating community capacity building efforts, assisting in conducting community health assessments, designing evaluations for community-based partnerships and public health programs, and served as evaluator and co-investigator on a variety of other research and contract projects. Her research interests include program evaluation, community organizing and capacity building, and the evaluation of community based partnerships, specifically the use of interorganizational network analysis to examine growth in the partnerships. She serves as Co-Principal Investigator on two state-wide evaluation projects and have been a co-investigator on numerous supplemental grants and contracts, including assessment, evaluation, and other public health projects.",Research Assistant Professor,School of Public Health,https://scholars.library.tamu.edu/vivo/display/nfd556d31
Jianer,Chen,Professor - Term Appointment,"Dr. Chen's main research is centered on computer algorithms and their applications. His current research projects include exact and parameterized algorithms, computer graphics, computer networks, and computational biology.<br /><br /><br /><br />In his research in algorithms, Jianer Chen is most interested in efficient and effective algorithms for hard optimization problems and their intrinsic complexity. In computer graphics, he is working on topologically robust graphics modeling systems. In computer networks, his main interest is in routing algorithms and fault tolerance for computer networks and sensor networks. In computational biology, his focus is on biological sequence analysis and biological network analysis.",Professor - Term Appointment,Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/nfdda43fb
Dale,Cope,Associate Professor of the Practice,"My primary interest in engineering education is to learn about modern pedagogy practices in order to actively engage students in the classroom and help them better understand complex engineering concepts.  While my specific objective is to assist students with mastering these concepts, my underlying goal is to have students master the learning process during their college academic career.  The goal is to help turn the novice learners into expert learners where they want to learn, know how to learn strategically, and are well prepared for a lifetime of learning in the engineering career field.",Faculty Affiliate||Associate Professor of the Practice,Mechanical Engineering||Institute for Engineering Education and Innovation,https://scholars.library.tamu.edu/vivo/display/nffdfd77f
